[00:00:00.209 --> 00:00:01.629]  ...and cover us.
[02:32:29.529 --> 02:32:34.454]  I'm not really sure what that story is, but it seems to be a relevant journalistic piece of information.
[02:32:34.454 --> 02:32:37.237]  That MITRE Corporation?
[02:32:37.237 --> 02:32:37.998]  Oh, it is.
[02:32:37.998 --> 02:32:39.579]  Very, very serious.
[02:32:39.579 --> 02:32:44.484]  And I'm wondering, I'd like to hear more about that, but the mix in the UFO stuff... Well, there's a website.
[02:32:44.484 --> 02:32:45.345]  The link's right there.
[02:32:45.345 --> 02:32:46.947]  I mean, whichever one it was.
[02:32:47.742 --> 02:32:50.148]  You know, I didn't hide the link on the page.
[02:32:50.148 --> 02:32:56.282]  Did you know the CIA was running drills applying hijacked jets in the World Trade Center and Pentagon at 830 in the morning on 9-11?
[02:32:57.970 --> 02:32:59.391]  I don't know anything about that.
[02:32:59.391 --> 02:33:01.632]  That's USA Today.
[02:33:01.632 --> 02:33:05.655]  We reported it two and a half years before they did, by the way, when no one was reporting it.
[02:33:05.655 --> 02:33:06.295]  How do we know?
[02:33:06.295 --> 02:33:07.576]  Cold sources.
[02:33:07.576 --> 02:33:10.557]  But let me throw some more out at you.
[02:33:10.557 --> 02:33:12.759]  Were you aware that Bush Sr.
[02:33:12.759 --> 02:33:18.122]  was at a Carlyle Group function at the head table with the head of the Bin Laden family at 8.30 in the morning on 9-11?
[02:33:18.122 --> 02:33:23.065]  The General Mood of Med wired $100,000 to Mohammed Adam, was having breakfast with Porter Goss,
[02:33:23.565 --> 02:33:31.051]  I don't know anything about what you're talking about, but what you're describing, even if any or all of these things are true, you've got post-hoax, you're taking this,
[02:33:49.085 --> 02:33:52.887]  And the events later and combining them when you don't know if that's the case.
[02:33:52.887 --> 02:33:57.730]  The CIA in its own official report just so happened to be doing a drill of the exact same thing, sure.
[02:33:57.730 --> 02:34:07.796]  Well, yeah, and I know people who believe in grand conspiracies do not believe in, for instance... No, no, no, Bush tells us they never heard of a plan to fly a plane into a building, no.
[02:34:07.796 --> 02:34:11.358]  Now, who's lying?
[02:34:11.358 --> 02:34:15.981]  Remember Bush saying, I've never heard of a plan, no one's ever heard of a plan to fly a plane into a building?
[02:34:17.361 --> 02:34:19.683]  If he did, well, he was wrong if he had heard about it.
[02:34:19.683 --> 02:34:21.144]  But, I mean, I don't care.
[02:34:21.144 --> 02:34:26.247]  You're talking about... You're talking about... You don't care if the CIA was running grills?
[02:34:26.247 --> 02:34:35.374]  What I'm saying is, I don't take, you know, these one little things and blow it up and... One little thing?
[02:34:35.374 --> 02:34:43.400]  Dick Cheney, three months before, taking the authority from the generals to shoot down errant jets from them, a power they'd had since 57, in the command bunker, in control?
[02:34:45.162 --> 02:34:48.444]  I mean, go right ahead.
[02:34:48.444 --> 02:34:51.746]  I'm not going to change your opinion on this.
[02:34:51.746 --> 02:34:57.909]  So you think it's a coincidence that there was a drill the morning of 9-11 of flying hijacked jets in the World Trade Center Pentagon?
[02:34:57.909 --> 02:35:02.251]  I think that Occam's Razor suggests that most of these things are coincidental.
[02:35:02.251 --> 02:35:06.674]  If you want to take them and blow them into the greatest conspiracy you can ever imagine, that's fine.
[02:35:10.060 --> 02:35:16.323]  John Sanders, people can read your neocon diatribe at frontpagemag.com.
[02:35:16.323 --> 02:35:19.504]  I'm joking, because the communist stuff is a joke.
[02:35:19.504 --> 02:35:25.966]  But you can get cool t-shirts on the side about being a commie isn't cool, which I agree with them on.
[02:35:25.966 --> 02:35:31.228]  So I guess that Mr. Horowitz isn't very cool.
[02:35:31.228 --> 02:35:34.750]  I wonder why all these old Trotskyites and leftists are now our neocon leaders.
[02:35:34.750 --> 02:35:35.230]  Why is that?
[02:35:38.243 --> 02:35:41.785]  What are you talking about as far as our neocon leaders?
[02:35:41.785 --> 02:35:49.749]  You didn't know that even the Washington Post, Toronto Star admits that the neocon leaders were the 4th International?
[02:35:49.749 --> 02:35:51.890]  You didn't know they were the leaders of the 4th International?
[02:35:51.890 --> 02:35:53.571]  The 4th International what?
[02:35:53.571 --> 02:35:57.113]  Communists!
[02:35:57.113 --> 02:36:01.055]  Great, I mean it's been extraordinarily entertaining.
[02:36:01.380 --> 02:36:06.642]  But it seems like you're looking to debunk an academic course with anti-intellectualism.
[02:36:06.642 --> 02:36:08.563]  But I mean, hold on a minute, sir.
[02:36:08.563 --> 02:36:10.304]  Paul Watson, jump in here.
[02:36:10.304 --> 02:36:13.285]  Hey, sir, Sanders, can you give us your email?
[02:36:13.285 --> 02:36:17.826]  Paul, can you send him a couple dozen mainstream articles about... How about the Toronto Star?
[02:36:17.826 --> 02:36:20.187]  The ghost of Trotsky walks the halls of the White House?
[02:36:20.187 --> 02:36:22.428]  Yeah, I've got it right here in front of me.
[02:36:22.428 --> 02:36:24.069]  Well, if I read that, I would laugh about it.
[02:36:25.814 --> 02:36:32.455]  It's actually the National Post, which is in more right-wing, so the whole ol' liberal thing is not gonna work on that.
[02:36:32.455 --> 02:36:36.516]  So you didn't know that the neocons were founded by communists?
[02:36:36.516 --> 02:36:48.898]  You know, you say these things like, you didn't know this, you didn't know, and you'll, you'll source, you'll source an article that you want me to believe, but on the other side... I'm ready to back it up, Bubba!
[02:36:48.898 --> 02:36:52.179]  Really, it's like a game of Jeopardy, and Mr. Jones is trumping you.
[02:36:52.179 --> 02:36:54.439]  You might even be in the negative dollar value at this point.
[02:36:56.590 --> 02:37:02.754]  I'm giving you a philosophical perspective, an outlook, a skepticism toward things, and truth not, which is fine.
[02:37:02.754 --> 02:37:18.483]  But it's cognitive dissonance, even when you laugh out of that kind of fear, you're rejecting even the concept of reading about B because you're so attached to A. I want to call you a professor or a doctor, but you have a PhD, so what are you?
[02:37:18.483 --> 02:37:20.985]  I'm just a mister.
[02:37:20.985 --> 02:37:24.687]  Mr. Sanders, explain something to me right here.
[02:37:25.871 --> 02:37:31.974]  You're telling me you don't know that the Bush White House is predominantly run by Trotskyites?
[02:37:31.974 --> 02:37:34.535]  Yes, I'm extraordinarily skeptical of that claim.
[02:37:34.535 --> 02:37:36.276]  Well, there's a family tree there on that.
[02:37:36.276 --> 02:37:38.858]  I mean, the current White House goes... I'm sorry.
[02:37:38.858 --> 02:37:39.718]  Ideas are genetic.
[02:37:40.646 --> 02:37:43.568]  No, but there's a... Okay, well, they essentially are the same.
[02:37:43.568 --> 02:37:46.951]  He means that in a... as a metaphor.
[02:37:46.951 --> 02:37:49.873]  Intellectually, intellectually family tree.
[02:37:49.873 --> 02:37:57.038]  Because the current White House has links to Crystal and his father has links to Leo Strauss and that... I mean, from there you get further into Trotsky.
[02:37:57.038 --> 02:38:04.344]  I mean, again, you're trying to... you're trying to use anti-intellectual... You know, Michael Savage was the top... one of the top beatniks.
[02:38:04.344 --> 02:38:08.107]  They're all a bunch of dirty beatniks.
[02:38:08.107 --> 02:38:08.387]  I don't...
[02:38:09.031 --> 02:38:11.793]  No way, why in the world are you bringing up Michael Savage?
[02:38:11.793 --> 02:38:13.034]  This is another dirty beatnik!
[02:38:13.034 --> 02:38:15.757]  They're all a bunch of dirty, oily scumbags!
[02:38:15.757 --> 02:38:20.200]  Bunch of slimy commies!
[02:38:20.200 --> 02:38:21.602]  Polls tell them all about it!
[02:38:21.602 --> 02:38:23.103]  That's just hysterical.
[02:38:23.103 --> 02:38:29.088]  Well yeah, we've raised the point of the White House and its advisors being linked back to Trotsky.
[02:38:29.088 --> 02:38:32.331]  And here's the article, Trotsky's ghost wandering the White House.
[02:38:32.331 --> 02:38:36.034]  Influence on Bush aides, Bolsheviks writing support the idea of preemptive war.
[02:38:36.701 --> 02:38:44.908]  And it goes through all the Bush advisors, Rumsfeld, Will, Pearl, Wolfowitz, and how they have links back to Trotsky, their ideology.
[02:38:44.908 --> 02:38:47.150]  People like Strauss.
[02:38:47.150 --> 02:38:50.332]  The noble lie that Strauss imbued.
[02:38:50.332 --> 02:38:53.254]  So, I mean, and this is all, you can go to prisonplanet.com.
[02:38:53.254 --> 02:39:00.680]  Crystal's papa was the head of the Communist Fourth International!
[02:39:00.680 --> 02:39:04.584]  You didn't know that, Sanders?
[02:39:04.584 --> 02:39:06.185]  I, this is really,
[02:39:06.653 --> 02:39:07.993]  That's funny.
[02:39:07.993 --> 02:39:08.714]  It's not, though.
[02:39:08.714 --> 02:39:09.234]  It's sad.
[02:39:09.234 --> 02:39:10.474]  I mean, you... I agree.
[02:39:10.474 --> 02:39:10.874]  Okay.
[02:39:10.874 --> 02:39:12.555]  Yeah.
[02:39:12.555 --> 02:39:16.476]  The bad part is that these kind of conversations are happening all over the country and the world.
[02:39:16.476 --> 02:39:17.576]  You can't stop us.
[02:39:17.576 --> 02:39:20.737]  So-and-so's link to so-and-so's link to so-and-so's link to the Trotsky.
[02:39:20.737 --> 02:39:23.258]  Therefore, the first link in the chain is Trotskyite.
[02:39:23.258 --> 02:39:24.219]  No, not so-and-so!
[02:39:24.219 --> 02:39:27.179]  The whole nest of neocons runs on one professor!
[02:39:29.673 --> 02:39:32.855]  You make arguments like that, and you're going to breed skepticism among people.
[02:39:32.855 --> 02:39:38.059]  In your article, you said that the professor linking to other people means that she's linked with their ideology.
[02:39:38.059 --> 02:39:43.062]  She's promoting it in her course, and I'm criticizing the course.
[02:39:43.062 --> 02:39:45.083]  Why is that so hard to understand?
[02:39:45.083 --> 02:39:49.787]  The Bush administration is promoting these Straussian Trotsky ideology.
[02:39:49.787 --> 02:39:51.348]  I don't believe they're communists.
[02:39:51.348 --> 02:39:54.590]  What I'm saying is they were, and they decided to seize power this way.
[02:39:54.590 --> 02:39:55.711]  It's all about power.
[02:39:55.711 --> 02:39:57.672]  I don't believe in left and right, sir, at the end of the day.
[02:39:58.012 --> 02:40:00.036]  I know Bush wants the Second Amendment dead.
[02:40:00.036 --> 02:40:02.760]  I know he's putting all of key people in position.
[02:40:02.760 --> 02:40:06.807]  I know he wants more abortion by putting people in positions, not by his rhetoric.
[02:40:06.807 --> 02:40:09.151]  I know he's for open borders, total amnesty.
[02:40:09.151 --> 02:40:11.154]  Well, you oppose each one of them and they show up.
[02:40:11.154 --> 02:40:12.056]  You don't make these...
[02:40:12.509 --> 02:40:15.051]  He's a Trotskyite, but I don't believe in Trotskyism.
[02:40:15.051 --> 02:40:18.213]  Ron Paul gave a speech called Neocon two years ago.
[02:40:18.213 --> 02:40:21.575]  Type in Ron Paul, Neocon speech, and he said it.
[02:40:21.575 --> 02:40:22.535]  He's a member of the government.
[02:40:22.535 --> 02:40:24.777]  You're going to believe him because that's what you want.
[02:40:24.777 --> 02:40:31.061]  No, I believe him because he's got the best voting record, he's a good personal friend of mine, and he knows about the New World Order.
[02:40:31.061 --> 02:40:32.862]  John Sanders, thank you for coming on.
[02:40:32.862 --> 02:40:35.484]  I want to thank you for having the courage.
[02:40:35.484 --> 02:40:35.844]  Take care.
[02:40:38.337 --> 02:40:45.985]  Hey folks, Alex Jones here, announcing the release of my most comprehensive documentary exposing the New World Order's orchestration of the September 11th attacks yet.
[02:40:45.985 --> 02:40:50.951]  In my new film, The Masters of Terror, we chronicle the globalist master plan for world domination.
[02:40:50.951 --> 02:40:56.597]  The Masters of Terror details how the elite are using manufactured terrorism to drive the world population into accepting tyranny.
[02:40:56.837 --> 02:41:08.764]  Witness in horror the execution of the September 11th attacks and the ensuing whitewash, the cashless society control grid, impalpable microchips, mass mind control, militarization of police, concentration camps, foreign troops massing on U.S.
[02:41:08.764 --> 02:41:13.467]  soil, the USA Patriot Act, Super Big Brother Total Information Awareness Network, and much, much more.
[02:41:13.467 --> 02:41:16.188]  It is absolutely vital that everyone see the masses of terror.
[02:41:16.188 --> 02:41:23.152]  Only by exposing the perpetrators of September 11th can we stop them from carrying out the next wave of attacks and destroying our constitutional republic.
[02:41:23.152 --> 02:41:24.053]  Order online now!
[02:41:24.133 --> 02:41:28.418]  Now at InfoWars.com or PrisonPlanet.com or by calling 1-888-253-3139.
[02:41:28.418 --> 02:41:28.839]  That's 888-253-3139.
[02:41:37.193 --> 02:41:44.982]  Get the new Berkey Battery Adapter, an inexpensive yet long-term backup power supply for your Berkey Light LED system.
